,task,num_simulations,num_constraining_simulations,num_observation,algorithm,seed,dimension,rounds,"C2ST (0,)","C2ST (1,)","C2ST (2,)","C2ST (3,)","C2ST (4,)","C2ST (5,)","C2ST (6,)","C2ST (7,)","C2ST (8,)","C2ST (9,)","C2ST (0, 1)","C2ST (0, 2)","C2ST (0, 3)","C2ST (0, 4)","C2ST (0, 5)","C2ST (0, 6)","C2ST (0, 7)","C2ST (0, 8)","C2ST (0, 9)","C2ST (1, 2)","C2ST (1, 3)","C2ST (1, 4)","C2ST (1, 5)","C2ST (1, 6)","C2ST (1, 7)","C2ST (1, 8)","C2ST (1, 9)","C2ST (2, 3)","C2ST (2, 4)","C2ST (2, 5)","C2ST (2, 6)","C2ST (2, 7)","C2ST (2, 8)","C2ST (2, 9)","C2ST (3, 4)","C2ST (3, 5)","C2ST (3, 6)","C2ST (3, 7)","C2ST (3, 8)","C2ST (3, 9)","C2ST (4, 5)","C2ST (4, 6)","C2ST (4, 7)","C2ST (4, 8)","C2ST (4, 9)","C2ST (5, 6)","C2ST (5, 7)","C2ST (5, 8)","C2ST (5, 9)","C2ST (6, 7)","C2ST (6, 8)","C2ST (6, 9)","C2ST (7, 8)","C2ST (7, 9)","C2ST (8, 9)",C2ST 1-dim sum,C2ST 1-dim mean,C2ST 1-dim var,C2ST 2-dim sum,C2ST 2-dim mean,C2ST 2-dim var,RT,path,folder
0,gaussian_linear,2280,10916,10,tmnre,2080447848,10,5,0.6248999834060669,0.7016000151634216,0.5753999948501587,0.8187999725341797,0.6851999759674072,0.88919997215271,0.6126999855041504,0.8059999942779541,0.6040999889373779,0.6033999919891357,0.7979000210762024,0.7171000242233276,0.7914999723434448,0.814300000667572,0.86080002784729,0.6506999731063843,0.8343999981880188,0.7239999771118164,0.7095000147819519,0.6205000281333923,0.8059999942779541,0.7967000007629395,0.7907000184059143,0.703000009059906,0.7825999855995178,0.7570000290870667,0.9061999917030334,0.746999979019165,0.7924000024795532,0.866100013256073,0.6740999817848206,0.8090000152587891,0.9034000039100647,0.828499972820282,0.8899000287055969,0.8123000264167786,0.8087999820709229,0.7641000151634216,0.8465999960899353,0.9175000190734863,0.9136000275611877,0.7021999955177307,0.8550999760627747,0.7968000173568726,0.9017000198364258,0.6514000296592712,0.6481000185012817,0.8650000095367432,0.9021000266075134,0.7110000252723694,0.7724999785423279,0.9025999903678894,0.7979999780654907,0.8266000151634216,0.8726000189781189,6.92140007019043,0.6920999884605408,0.012000000104308128,35.84170150756836,0.796500027179718,0.006500000134110451,569.0727,/home/ben/sci/tmnre/outputs/2021-07-25/14-14-41/gaussian_linear/tmnre-10d-0.1scale-10-10000,/home/ben/sci/tmnre/outputs/2021-07-25/14-14-41/gaussian_linear/tmnre-10d-0.1scale-10-10000
1,gaussian_linear,5077,10129,9,tmnre,1680711215,10,4,0.5853000283241272,0.6790000200271606,0.5684000253677368,0.7275999784469604,0.71670001745224,0.8640000224113464,0.5669999718666077,0.5595999956130981,0.6212000250816345,0.5587000250816345,0.6758999824523926,0.6657000184059143,0.7961999773979187,0.8496999740600586,0.8583999872207642,0.6399000287055969,0.6492000222206116,0.7271000146865845,0.7932999730110168,0.6151999831199646,0.6764000058174133,0.8011999726295471,0.8977000117301941,0.7109000086784363,0.6736999750137329,0.6205999851226807,0.7001000046730042,0.7470999956130981,0.7735000252723694,0.7750999927520752,0.6075999736785889,0.7085999846458435,0.6690000295639038,0.6777999997138977,0.7961999773979187,0.7924000024795532,0.6191999912261963,0.6740999817848206,0.6054999828338623,0.7102000117301941,0.8866999745368958,0.8475000262260437,0.7261999845504761,0.8097000122070312,0.8292999863624573,0.9251999855041504,0.8715999722480774,0.8546000123023987,0.8942999839782715,0.6872000098228455,0.6133999824523926,0.6592000126838684,0.7276999950408936,0.7202000021934509,0.7232000231742859,6.447500228881836,0.6446999907493591,0.010200000368058681,33.28390121459961,0.7396000027656555,0.008299999870359898,559.51465,/home/ben/sci/tmnre/outputs/2021-07-25/14-14-41/gaussian_linear/tmnre-10d-0.1scale-9-10000,/home/ben/sci/tmnre/outputs/2021-07-25/14-14-41/gaussian_linear/tmnre-10d-0.1scale-9-10000
2,sir,325,997,1,tmnre,1946220725,2,5,0.5924999713897705,0.6474000215530396,,,,,,,,,0.6470000147819519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.23989999294281,0.6198999881744385,0.001500000013038516,0.6470000147819519,0.6470000147819519,,689.1533,/home/ben/sci/tmnre/outputs/2021-07-25/14-16-37/sir/tmnre-2d-1-1000,/home/ben/sci/tmnre/outputs/2021-07-25/14-16-37/sir/tmnre-2d-1-1000
3,sir,6590,10021,1,tmnre,3113804749,2,3,0.5270000100135803,0.5773000121116638,,,,,,,,,0.5928999781608582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.104200005531311,0.5521000027656555,0.0013000000035390258,0.5928999781608582,0.5928999781608582,,548.3992,/home/ben/sci/tmnre/outputs/2021-07-25/14-16-37/sir/tmnre-2d-1-10000,/home/ben/sci/tmnre/outputs/2021-07-25/14-16-37/sir/tmnre-2d-1-10000
4,sir,71602,99920,8,tmnre,579514114,2,2,0.5066999793052673,0.5241000056266785,,,,,,,,,0.542900025844574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0307999849319458,0.5153999924659729,0.00019999999494757503,0.542900025844574,0.542900025844574,,2514.9998,/home/ben/sci/tmnre/outputs/2021-07-25/14-17-16/sir/tmnre-2d-8-100000,/home/ben/sci/tmnre/outputs/2021-07-25/14-17-16/sir/tmnre-2d-8-100000
5,sir,73130,99846,10,tmnre,4132068556,2,2,0.534600019454956,0.5131000280380249,,,,,,,,,0.5325999855995178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0476000308990479,0.5238000154495239,0.00019999999494757503,0.5325999855995178,0.5325999855995178,,2587.0784,/home/ben/sci/tmnre/outputs/2021-07-25/14-17-16/sir/tmnre-2d-10-100000,/home/ben/sci/tmnre/outputs/2021-07-25/14-17-16/sir/tmnre-2d-10-100000
6,lotka_volterra,9991,9991,7,tmnre,2313534574,4,1,0.849399983882904,,0.9498999714851379,0.8230000138282776,,,,,,,0.9909999966621399,0.9861999750137329,0.9991999864578247,,,,,,,0.9987999796867371,0.9976999759674072,,,,,,,0.9585000276565552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.931600093841553,0.9886000156402588,0.00019999999494757503,673.9375,/home/ben/sci/tmnre/outputs/2021-07-25/14-15-52/lotka_volterra/tmnre-4d-0.1scale-7-10000,/home/ben/sci/tmnre/outputs/2021-07-25/14-15-52/lotka_volterra/tmnre-4d-0.1scale-7-10000
7,lotka_volterra,9926,9926,8,tmnre,1830944810,4,1,0.8198000192642212,0.6949999928474426,0.807200014591217,0.763700008392334,,,,,,,0.9021000266075134,0.9164999723434448,0.9362000226974487,,,,,,,0.911899983882904,0.84579998254776,,,,,,,0.9221000075340271,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.085599899291992,0.771399974822998,0.0031999999191612005,5.434700012207031,0.9057999849319458,0.0010000000474974513,661.5957,/home/ben/sci/tmnre/outputs/2021-07-25/14-15-52/lotka_volterra/tmnre-4d-0.1scale-8-10000,/home/ben/sci/tmnre/outputs/2021-07-25/14-15-52/lotka_volterra/tmnre-4d-0.1scale-8-10000
8,lotka_volterra,8149,9990,1,tmnre,63233748,4,2,0.9114999771118164,0.7124999761581421,0.8403000235557556,0.8953999876976013,,,,,,,0.9325000047683716,0.9796000123023987,0.984499990940094,,,,,,,0.9294000267982483,0.9605000019073486,,,,,,,0.9800999760627747,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3596999645233154,0.839900016784668,0.008200000040233135,5.766600131988525,0.9610999822616577,0.0006000000284984708,763.93225,/home/ben/sci/tmnre/outputs/2021-07-25/14-15-52/lotka_volterra/tmnre-4d-0.1scale-1-10000,/home/ben/sci/tmnre/outputs/2021-07-25/14-15-52/lotka_volterra/tmnre-4d-0.1scale-1-10000
9,lotka_volterra,1679,11287,4,tmnre,432271408,4,5,0.7721999883651733,0.9172000288963318,0.7178000211715698,0.8033000230789185,,,,,,,0.8033000230789185,0.8583999872207642,0.9553999900817871,,,,,,,0.9452000260353088,0.9473999738693237,,,,,,,0.9872000217437744,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.210400104522705,0.8026000261306763,0.0071000000461936,5.4969000816345215,0.9161999821662903,0.004900000058114529,923.0289,/home/ben/sci/tmnre/outputs/lotka_volterra/2021-08-04/19-34-18/tmnre-4d-0.1scale-4-10000,/home/ben/sci/tmnre/outputs/lotka_volterra/2021-08-04/19-34-18/tmnre-4d-0.1scale-4-10000
