,task,num_simulations,num_constraining_simulations,num_observation,algorithm,seed,dimension,rounds,"C2ST (0,)","C2ST (1,)","C2ST (2,)","C2ST (3,)","C2ST (4,)","C2ST (0, 1)","C2ST (0, 2)","C2ST (0, 3)","C2ST (0, 4)","C2ST (1, 2)","C2ST (1, 3)","C2ST (1, 4)","C2ST (2, 3)","C2ST (2, 4)","C2ST (3, 4)",C2ST 1-dim sum,C2ST 1-dim mean,C2ST 1-dim var,C2ST 2-dim sum,C2ST 2-dim mean,C2ST 2-dim var,"KLD (1, 2)","KLD (0,)","KLD (1,)","KLD (2,)","KLD (3,)","KLD (1, 4)","KLD (4,)","KLD (2, 4)","KLD (2, 3)","KLD (0, 4)","KLD (0, 3)","KLD (3, 4)","KLD (1, 3)","KLD (0, 2)","KLD (0, 1)",KLD 1-dim sum,KLD 1-dim mean,KLD 1-dim var,KLD 2-dim sum,KLD 2-dim mean,KLD 2-dim var,"KLD_FIX (1, 2)","KLD_FIX (0,)","KLD_FIX (1,)","KLD_FIX (2,)","KLD_FIX (3,)","KLD_FIX (1, 4)","KLD_FIX (4,)","KLD_FIX (2, 4)","KLD_FIX (2, 3)","KLD_FIX (0, 4)","KLD_FIX (0, 3)","KLD_FIX (3, 4)","KLD_FIX (1, 3)","KLD_FIX (0, 2)","KLD_FIX (0, 1)",KLD_FIX 1-dim sum,KLD_FIX 1-dim mean,KLD_FIX 1-dim var,KLD_FIX 2-dim sum,KLD_FIX 2-dim mean,KLD_FIX 2-dim var,RT,path,folder,"C2ST (5,)","C2ST (6,)","C2ST (7,)","C2ST (8,)","C2ST (9,)","C2ST (0, 5)","C2ST (0, 6)","C2ST (0, 7)","C2ST (0, 8)","C2ST (0, 9)","C2ST (1, 5)","C2ST (1, 6)","C2ST (1, 7)","C2ST (1, 8)","C2ST (1, 9)","C2ST (2, 5)","C2ST (2, 6)","C2ST (2, 7)","C2ST (2, 8)","C2ST (2, 9)","C2ST (3, 5)","C2ST (3, 6)","C2ST (3, 7)","C2ST (3, 8)","C2ST (3, 9)","C2ST (4, 5)","C2ST (4, 6)","C2ST (4, 7)","C2ST (4, 8)","C2ST (4, 9)","C2ST (5, 6)","C2ST (5, 7)","C2ST (5, 8)","C2ST (5, 9)","C2ST (6, 7)","C2ST (6, 8)","C2ST (6, 9)","C2ST (7, 8)","C2ST (7, 9)","C2ST (8, 9)","KLD (5, 9)","KLD (4, 7)","KLD (6, 9)","KLD (4, 8)","KLD (5, 6)","KLD (2, 8)","KLD (0, 7)","KLD (9,)","KLD (8, 9)","KLD (1, 6)","KLD (3, 7)","KLD (2, 5)","KLD (5, 8)","KLD (4, 9)","KLD (6, 7)","KLD (2, 9)","KLD (1, 5)","KLD (5,)","KLD (3, 6)","KLD (7,)","KLD (2, 6)","KLD (4, 5)","KLD (8,)","KLD (3, 9)","KLD (0, 5)","KLD (1, 9)","KLD (0, 8)","KLD (3, 5)","KLD (2, 7)","KLD (7, 8)","KLD (7, 9)","KLD (4, 6)","KLD (6, 8)","KLD (5, 7)","KLD (3, 8)","KLD (0, 6)","KLD (1, 8)","KLD (6,)","KLD (1, 7)","KLD (0, 9)","KLD_FIX (5, 9)","KLD_FIX (4, 7)","KLD_FIX (6, 9)","KLD_FIX (4, 8)","KLD_FIX (5, 6)","KLD_FIX (2, 8)","KLD_FIX (0, 7)","KLD_FIX (9,)","KLD_FIX (8, 9)","KLD_FIX (1, 6)","KLD_FIX (3, 7)","KLD_FIX (2, 5)","KLD_FIX (5, 8)","KLD_FIX (4, 9)","KLD_FIX (6, 7)","KLD_FIX (2, 9)","KLD_FIX (1, 5)","KLD_FIX (5,)","KLD_FIX (3, 6)","KLD_FIX (7,)","KLD_FIX (2, 6)","KLD_FIX (4, 5)","KLD_FIX (8,)","KLD_FIX (3, 9)","KLD_FIX (0, 5)","KLD_FIX (1, 9)","KLD_FIX (0, 8)","KLD_FIX (3, 5)","KLD_FIX (2, 7)","KLD_FIX (7, 8)","KLD_FIX (7, 9)","KLD_FIX (4, 6)","KLD_FIX (6, 8)","KLD_FIX (5, 7)","KLD_FIX (3, 8)","KLD_FIX (0, 6)","KLD_FIX (1, 8)","KLD_FIX (6,)","KLD_FIX (1, 7)","KLD_FIX (0, 9)"
0,slcp,100630,100647,10,tmnre,3254095118,5,1,0.63675,0.6531,0.5321,0.5004,0.66725,0.66045,0.66425,0.8482,0.72575,0.8376,0.59865,0.65885,0.80835,0.76885,0.7836,2.9896,0.59792,0.0058004167,7.3545504,0.73545504,0.007473991,inf,inf,0.0202735180915579,0.0011489295967573,0.3086169629404123,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,,inf,inf,,0.1432096268954189,0.167724596109081,0.0201536634679632,0.0011357733450792,0.3073920798924539,0.2397714373201884,0.2617007864344962,1.0401493112901783,0.4836742884155457,0.971999496063475,0.0958785070265128,0.3037997126865402,0.7535199583451059,0.7022772661932947,0.7443402902005414,0.7581068992490736,0.1516213798498147,0.0191427446338648,5.478619894436802,0.5478619894436803,0.1170690310453145,2473.3381,/home/ben/sci/tmnre/inference_sbibm/raw/2021-05-25/19-47-27/slcp/cnre-10-100000,/home/ben/sci/tmnre/inference_sbibm/raw/2021-05-25/19-47-27/slcp/cnre-10-100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,slcp,99945,104968,3,tmnre,221300905,5,1,0.5298,0.5469,0.63735,0.5156,0.5967,0.62955,0.61615,0.86,0.58175,0.6409,0.67465,0.71175,0.62125,0.66305,0.6855,2.82635,0.56527,0.0025615152,6.684551,0.66845506,0.005964093,0.0235684073618653,0.0099839308463482,0.1270162349374624,0.1888546755129156,inf,1.3123471861857945,inf,0.1908523265743734,inf,inf,0.0940845484323093,0.2741878166856062,0.1521557199023207,0.3217371974628669,0.0144981831795198,inf,inf,,inf,inf,,0.0235233500686032,0.0098210785378124,0.1266942499241085,0.1844956453780539,0.1214855971744794,1.2718237696150714,0.0945319761023649,0.1879176372684348,0.3103953889618588,0.4902120632700401,0.09205721302027,0.2688225585681287,0.1519359986208273,0.3164249703734731,0.0144004798504812,0.5370285471168194,0.1074057094233638,0.0040504106134801,3.1275134296171894,0.3127513429617189,0.1351197787122685,2907.7515,/home/ben/sci/tmnre/inference_sbibm/raw/2021-05-25/19-47-27/slcp/cnre-3-100000,/home/ben/sci/tmnre/inference_sbibm/raw/2021-05-25/19-47-27/slcp/cnre-3-100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,slcp,99652,99678,7,tmnre,622829621,5,1,0.53315,0.6173,0.4985,0.68845,0.68825,0.70485,0.5728,0.891,0.72855,0.79615,0.9522,0.92315,0.84565,0.72885,0.87605,3.02565,0.60513,0.007637585,8.01925,0.801925,0.013921982,0.038356010157639,0.0033839803583355,0.208193217411681,0.3898527324535727,inf,0.4985534688560618,0.0570635332867612,inf,0.5479850011693077,0.6305464512524613,inf,inf,inf,inf,0.0132808550309906,inf,inf,,inf,inf,,0.0378951928327447,0.0033086893307614,0.2076341120392097,0.3880206636197744,0.134442256869195,0.4869494809692709,0.0551505757322264,0.1930906788803434,0.5250198821094999,0.6200572613478762,0.3854174838861331,2.012141737748933,1.7022339051253756,0.0910373258394878,0.0132487514929872,0.7885562975911671,0.1577112595182334,0.0226087517112173,6.067091700232652,0.6067091700232652,0.4842579076145312,3055.188,/home/ben/sci/tmnre/inference_sbibm/raw/2021-05-25/19-47-27/slcp/cnre-7-100000,/home/ben/sci/tmnre/inference_sbibm/raw/2021-05-25/19-47-27/slcp/cnre-7-100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,slcp,9957,10546,10,tmnre,1259500845,5,1,0.58595,0.62285,0.6404,0.8289,0.7127,0.6736,0.794,0.855,0.77385,0.78805,0.72475,0.72535,0.87075,0.8975,0.85805,3.3908,0.67816,0.009225812,7.9609,0.79609,0.0054253885,inf,inf,0.4914330588884787,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0914381339624649,inf,inf,,inf,inf,,0.1392744152937008,0.9213596150224336,0.4896711491227778,0.2323421299172699,0.7993402979603127,1.0726066397346865,0.8269216360228823,0.7656238139757718,0.4236120535805043,0.5305706316551373,1.1307283164000916,1.486385354487889,0.2129806473149383,1.097134168760284,0.0904853962226165,3.2696348280456764,0.6539269656091353,0.081826540531047,6.949401437425621,0.6949401437425621,0.2369706910017875,376.4783,/home/ben/sci/tmnre/inference_sbibm/raw/2021-05-25/19-47-27/slcp/cnre-10-10000,/home/ben/sci/tmnre/inference_sbibm/raw/2021-05-25/19-47-27/slcp/cnre-10-10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,slcp,99573,99616,8,tmnre,2302766548,5,1,0.5139,0.8467,0.49975,0.63155,0.72205,0.7577,0.56145,0.81335,0.66935,0.92135,0.8183,0.8981,0.8492,0.81135,0.82385,3.21395,0.64278996,0.021265216,7.924,0.7924,0.011463116,0.924548828659938,0.0336760263583245,0.5006822559757845,inf,inf,inf,inf,0.3367198921294426,inf,inf,inf,inf,0.003750437969534,0.991910750279772,0.0047016128098834,inf,inf,,inf,inf,,0.9214998629472184,0.033345966877923,0.4974813338297051,0.227357533038691,0.0395603358530469,0.9714171354253068,0.6364801802656124,0.3239965889419834,1.8637288657020663,0.2027932610143704,1.3265323813230212,0.8002061868848663,0.0037330391522551,0.971524594658446,0.0046868598792219,1.4342253498649784,0.2868450699729957,0.0738906620125334,7.390118775928757,0.7390118775928757,0.3661028797640681,2715.4353,/home/ben/sci/tmnre/inference_sbibm/raw/2021-05-25/19-47-27/slcp/cnre-8-100000,/home/ben/sci/tmnre/inference_sbibm/raw/2021-05-25/19-47-27/slcp/cnre-8-100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,slcp,1050,1050,6,tmnre,878236881,5,1,0.53825,0.53065,0.80605,0.76015,0.8043,0.83295,0.8326,0.7612,0.79375,0.8928,0.69995,0.82445,0.9112,0.89315,0.8695,3.4394,0.68788,0.01996278,8.31155,0.831155,0.0043420973,0.0147946621285248,0.6381670969727568,0.9595697299624908,1.2621491646376246,1.2043135211833398,inf,0.978193523568393,inf,0.36715039224522,1.3358597211838297,1.7536823688191174,1.7978162683446193,0.8255213229342708,1.5689616356776537,0.027550897207611,5.042393036324605,1.008478607264921,0.0607849861038915,inf,inf,,0.0147590372915223,0.6345894885200988,0.955743365304638,1.2352720165168591,1.1743017111659322,0.6808571042807962,0.950391829123504,2.679974869847041,0.3505160026623939,1.2921834817224327,1.700355371312395,1.7465619049780534,0.822540514294789,1.5233092471184595,0.0270951341183637,4.950298410631032,0.9900596821262064,0.0557961052265985,10.838152667626249,1.0838152667626246,0.7368398672779691,144.97525,/home/ben/sci/tmnre/inference_sbibm/raw/2021-05-25/19-47-27/slcp/cnre-6-1000,/home/ben/sci/tmnre/inference_sbibm/raw/2021-05-25/19-47-27/slcp/cnre-6-1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,slcp,9982,9984,7,tmnre,617623228,5,1,0.52725,0.67265,0.5467,0.86655,0.8426,0.86635,0.5927,0.88595,0.789,0.8463,0.9526,0.9557,0.86,0.8137,0.9447,3.45575,0.69115,0.025443384,8.507,0.8507,0.011508648,inf,0.0199348041731136,0.0535104576058632,1.224183045773957,1.3402800881099792,0.0877135069971294,inf,1.2556915798553403,1.0846702356793472,inf,inf,inf,0.1253065556587069,inf,0.015871472156447,inf,inf,,inf,inf,,1.5702124907275294,0.019858659931403,0.0532696663225725,1.2192827221759996,1.310475864894459,0.0841858450530917,0.1985625458398438,1.2221290398124838,1.0707751014976676,1.7104688201008522,2.6529224825743705,0.1542346768563433,0.1245542030099679,1.0297836195585344,0.0157867636813184,2.801449459164278,0.5602898918328556,0.4192581607380551,9.635053042872158,0.9635053042872158,0.7658994899694632,436.07587,/home/ben/sci/tmnre/inference_sbibm/raw/2021-05-25/19-47-27/slcp/cnre-7-10000,/home/ben/sci/tmnre/inference_sbibm/raw/2021-05-25/19-47-27/slcp/cnre-7-10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,slcp,10011,10281,4,tmnre,1679227723,5,1,0.52805,0.76975,0.5369,0.748,0.7476,0.8354,0.6324,0.92555,0.7145,0.845,0.83425,0.8384,0.78865,0.7883,0.8489,3.3303003,0.6660601,0.0149609065,8.05135,0.80513495,0.0066090934,0.2417871986121865,0.0327564920357003,0.0502012890885034,0.6799078261885716,inf,inf,inf,inf,inf,inf,1.050441786430914,inf,inf,inf,0.0085280174894842,inf,inf,,inf,inf,,0.2401882242489777,0.0320621842420806,0.0494232079806401,0.6775516540289036,0.5407788726276795,0.2153847240013172,1.5736267362389682,0.5373945166627393,0.763392455254721,0.1805551469233407,1.0319685699835384,0.1342757991368039,0.6119374358516328,0.8208940037653768,0.0085022391523915,2.873442655118272,0.5746885310236544,0.394988809164679,4.54449311498084,0.454449311498084,0.1193773402336241,363.2549,/home/ben/sci/tmnre/inference_sbibm/raw/2021-05-25/19-47-27/slcp/cnre-4-10000,/home/ben/sci/tmnre/inference_sbibm/raw/2021-05-25/19-47-27/slcp/cnre-4-10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,slcp,1006,1006,5,tmnre,3170750599,5,1,0.62215,0.56805,0.85065,0.7773,0.79385,0.67055,0.72065,0.8084,0.86075,0.84515,0.79105,0.80355,0.80215,0.8411,0.8815,3.612,0.7224,0.014610289,8.02485,0.802485,0.0041356008,0.0508445323358447,0.7906307890928507,0.8741229859626757,inf,0.6855464698249075,1.32188946031726,1.7699154061691615,inf,inf,0.962791972167742,0.9211715015167375,1.2764794274031157,1.243556319835968,1.5250564744183044,0.1548189484281372,inf,inf,,inf,inf,,0.0506751344355047,0.7867749121397106,0.8702111104277498,0.3614043072553194,0.6670738973730969,1.2764206329816323,1.7076335084667764,1.1976339097670523,0.9106926072342628,0.9296601381910838,0.8955676632416454,1.2349137738227016,1.2381635018520556,1.4815281346691789,0.1545097022819368,4.393097735662653,0.8786195471325305,0.2520083632913158,9.369765198477054,0.9369765198477056,0.2288249756426549,166.44492,/home/ben/sci/tmnre/inference_sbibm/raw/2021-05-25/19-47-27/slcp/cnre-5-1000,/home/ben/sci/tmnre/inference_sbibm/raw/2021-05-25/19-47-27/slcp/cnre-5-1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,slcp,10014,10015,6,tmnre,621924852,5,1,0.56675,0.55615,0.57215,0.5436,0.54895,0.73525,0.65355,0.6568,0.63475,0.5956,0.61775,0.61015,0.71315,0.6224,0.642,2.7876,0.55752003,0.00014207915,6.4814005,0.6481401,0.0019917225,0.0525010780539331,0.0182474022364084,inf,inf,inf,inf,inf,0.1424762959811671,0.1824088927124667,inf,0.1910064880755024,inf,0.0605016642846382,inf,0.0714578683643586,inf,inf,,inf,inf,,0.0523346756890443,0.0177585324156445,0.0188530194273805,0.5513806352575974,0.2358552636820413,0.2256742971539739,0.2164786255837004,0.1373923026953377,0.1776745756537862,0.1617698926658019,0.1855750090892227,0.1095912302379826,0.0603536650792922,0.2008628968494606,0.0712391061857668,1.0403260763663642,0.2080652152732728,0.0476816096149311,1.3824676512996696,0.1382467651299669,0.0038524804495719,396.69864,/home/ben/sci/tmnre/inference_sbibm/raw/2021-05-25/19-47-27/slcp/cnre-6-10000,/home/ben/sci/tmnre/inference_sbibm/raw/2021-05-25/19-47-27/slcp/cnre-6-10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
