,epsilon,num_simulations,volume,kld,seed,"(0,)","(1,)","(2,)","(0, 1)","(0, 2)","(1, 2)",1-dim sum,1-dim mean,1-dim var,2-dim sum,2-dim mean,2-dim var,path,folder
0,-4,55022.0,0.010033140890300274,0.5624627470970154,7087,0.54475,0.51585,0.52995,0.51115,0.55755,0.54525,1.5905501,0.5301834,0.00020884286,1.61395,0.53798336,0.0005778435,/home/ben/sci/potential-happiness/epsilon/outputs/2021-05-26/22-20-32/-4,/home/ben/sci/potential-happiness/epsilon/outputs/2021-05-26/22-20-32/-4
1,-3,55711.0,0.006232095882296562,0.49548205733299255,6894,0.51255,0.51405,0.51095,0.50545,0.52595,0.5298,1.53755,0.5125167,2.4032984e-06,1.5611999,0.5204,0.0001713324,/home/ben/sci/potential-happiness/epsilon/outputs/2021-05-26/22-20-32/-3,/home/ben/sci/potential-happiness/epsilon/outputs/2021-05-26/22-20-32/-3
2,-10,50898.0,0.046786680817604065,1.6966561079025269,1669,0.5464,0.5501,0.5101,0.59775,0.5924,0.56385,1.6066,0.53553337,0.0004885637,1.754,0.58466667,0.00033215634,/home/ben/sci/potential-happiness/epsilon/outputs/2021-05-26/22-20-32/-10,/home/ben/sci/potential-happiness/epsilon/outputs/2021-05-26/22-20-32/-10
3,-9,52818.0,0.02702118642628193,1.6762715578079224,5450,0.5325,0.53335,0.5098,0.5901,0.5503,0.56915,1.57565,0.52521664,0.0001784357,1.7095499,0.56984997,0.0003963773,/home/ben/sci/potential-happiness/epsilon/outputs/2021-05-26/22-20-32/-9,/home/ben/sci/potential-happiness/epsilon/outputs/2021-05-26/22-20-32/-9
4,-7,54239.0,0.02424587309360504,0.9417352676391602,1600,0.5369,0.51985,0.496,0.56715,0.58105,0.5547,1.5527501,0.5175834,0.00042205575,1.7029,0.56763333,0.00017375532,/home/ben/sci/potential-happiness/epsilon/outputs/2021-05-26/22-20-32/-7,/home/ben/sci/potential-happiness/epsilon/outputs/2021-05-26/22-20-32/-7
5,-8,52900.0,0.030758075416088104,1.2626203298568726,5331,0.5024,0.52455,0.51595,0.58295,0.56485,0.56015,1.5429001,0.51430005,0.00012469798,1.70795,0.5693167,0.00014492315,/home/ben/sci/potential-happiness/epsilon/outputs/2021-05-26/22-20-32/-8,/home/ben/sci/potential-happiness/epsilon/outputs/2021-05-26/22-20-32/-8
6,-5,55106.0,0.015330174006521702,0.7199556231498718,3433,0.50805,0.5136,0.502,0.53305,0.54145,0.52475,1.52365,0.50788337,3.366094e-05,1.5992501,0.5330834,6.972358e-05,/home/ben/sci/potential-happiness/epsilon/outputs/2021-05-26/22-20-32/-5,/home/ben/sci/potential-happiness/epsilon/outputs/2021-05-26/22-20-32/-5
7,-6,54897.0,0.015045223757624626,0.9866305589675903,3678,0.52345,0.50845,0.5114,0.5368,0.55735,0.5223,1.5432999,0.5144333,6.31512e-05,1.6164501,0.5388167,0.00031017532,/home/ben/sci/potential-happiness/epsilon/outputs/2021-05-26/22-20-32/-6,/home/ben/sci/potential-happiness/epsilon/outputs/2021-05-26/22-20-32/-6
8,-2,53121.0,0.004789905622601509,0.2952384352684021,6076,0.52095,0.50215,0.51225,0.5267,0.53195,0.5292,1.5353501,0.51178336,8.852352e-05,1.5878501,0.52928334,6.8957725e-06,/home/ben/sci/potential-happiness/epsilon/outputs/2021-05-26/22-20-32/-2,/home/ben/sci/potential-happiness/epsilon/outputs/2021-05-26/22-20-32/-2
9,-1,52003.0,0.002255098894238472,0.8086920976638794,5535,0.5188,0.5128,0.51185,0.52545,0.5354,0.52325,1.54345,0.51448333,1.42009585e-05,1.5840999,0.5280333,4.191074e-05,/home/ben/sci/potential-happiness/epsilon/outputs/2021-05-26/22-20-32/-1,/home/ben/sci/potential-happiness/epsilon/outputs/2021-05-26/22-20-32/-1
10,-4,56715.0,0.00887216255068779,0.6347530484199524,1604,0.5175,0.52605,0.51935,0.52195,0.59365,0.5186,1.5629001,0.5209667,2.0235759e-05,1.6342,0.54473335,0.0017974352,/home/ben/sci/potential-happiness/epsilon/outputs/2021-05-26/19-17-52/-4,/home/ben/sci/potential-happiness/epsilon/outputs/2021-05-26/19-17-52/-4
11,-3,54475.0,0.006412831135094166,0.3670297861099243,3159,0.51295,0.49925,0.51175,0.5276,0.5407,0.5265,1.52395,0.5079833,5.756333e-05,1.5948,0.5316,6.2410276e-05,/home/ben/sci/potential-happiness/epsilon/outputs/2021-05-26/19-17-52/-3,/home/ben/sci/potential-happiness/epsilon/outputs/2021-05-26/19-17-52/-3
12,-10,48260.0,0.05263630300760269,1.7934110164642334,3098,0.53675,0.54245,0.5169,0.63325,0.59735,0.6302,1.5961001,0.5320334,0.00017988599,1.8608,0.6202667,0.00039620607,/home/ben/sci/potential-happiness/epsilon/outputs/2021-05-26/19-17-52/-10,/home/ben/sci/potential-happiness/epsilon/outputs/2021-05-26/19-17-52/-10
13,-9,52018.0,0.053809378296136856,1.1473418474197388,6072,0.5252,0.5184,0.4973,0.62155,0.5479,0.5678,1.5409001,0.5136334,0.00021164352,1.7372501,0.5790834,0.0014515663,/home/ben/sci/potential-happiness/epsilon/outputs/2021-05-26/19-17-52/-9,/home/ben/sci/potential-happiness/epsilon/outputs/2021-05-26/19-17-52/-9
14,-7,53749.0,0.018423914909362793,1.1219329833984375,3772,0.5178,0.52035,0.5124,0.5331,0.52055,0.5651,1.55055,0.51685,1.647753e-05,1.6187501,0.5395834,0.0005277009,/home/ben/sci/potential-happiness/epsilon/outputs/2021-05-26/19-17-52/-7,/home/ben/sci/potential-happiness/epsilon/outputs/2021-05-26/19-17-52/-7
15,-8,53416.0,0.023085150867700577,1.7692595720291138,4335,0.53,0.55855,0.51705,0.57745,0.5475,0.5349,1.6056,0.5352,0.00045084214,1.6598499,0.5532833,0.00047771004,/home/ben/sci/potential-happiness/epsilon/outputs/2021-05-26/19-17-52/-8,/home/ben/sci/potential-happiness/epsilon/outputs/2021-05-26/19-17-52/-8
16,-5,56354.0,0.011640128679573536,0.8897233009338379,5502,0.5184,0.5114,0.4991,0.5265,0.5423,0.56205,1.5288999,0.5096333,9.546343e-05,1.63085,0.54361665,0.00031725081,/home/ben/sci/potential-happiness/epsilon/outputs/2021-05-26/19-17-52/-5,/home/ben/sci/potential-happiness/epsilon/outputs/2021-05-26/19-17-52/-5
17,-6,56100.0,0.016232309862971306,0.7457939386367798,4442,0.5116,0.50175,0.50865,0.52935,0.5462,0.5413,1.5220001,0.50733334,2.5555957e-05,1.6168499,0.53894997,7.51225e-05,/home/ben/sci/potential-happiness/epsilon/outputs/2021-05-26/19-17-52/-6,/home/ben/sci/potential-happiness/epsilon/outputs/2021-05-26/19-17-52/-6
18,-2,54344.0,0.00414709048345685,0.3196278512477875,7599,0.5166,0.49835,0.504,0.5205,0.5291,0.52525,1.51895,0.50631666,8.729099e-05,1.5748501,0.52495,1.855749e-05,/home/ben/sci/potential-happiness/epsilon/outputs/2021-05-26/19-17-52/-2,/home/ben/sci/potential-happiness/epsilon/outputs/2021-05-26/19-17-52/-2
19,-1,55961.0,0.0023121717385947704,0.6622838973999023,4434,0.5175,0.50545,0.52285,0.52,0.55095,0.52215,1.5458,0.51526666,7.943052e-05,1.5931001,0.53103334,0.00029866103,/home/ben/sci/potential-happiness/epsilon/outputs/2021-05-26/19-17-52/-1,/home/ben/sci/potential-happiness/epsilon/outputs/2021-05-26/19-17-52/-1
20,-4,55924.0,0.00910073984414339,0.6336786150932312,9079,0.51305,0.52205,0.5125,0.52785,0.5318,0.52185,1.5476,0.5158667,2.8750961e-05,1.5814999,0.52716666,2.5100739e-05,/home/ben/sci/potential-happiness/epsilon/outputs/2021-05-26/19-13-34/-4,/home/ben/sci/potential-happiness/epsilon/outputs/2021-05-26/19-13-34/-4
21,-3,54329.0,0.006667877081781626,0.44789397716522217,2906,0.51195,0.51085,0.5021,0.5295,0.54545,0.51815,1.5249,0.5083,2.9132647e-05,1.5931,0.53103334,0.00018808577,/home/ben/sci/potential-happiness/epsilon/outputs/2021-05-26/19-13-34/-3,/home/ben/sci/potential-happiness/epsilon/outputs/2021-05-26/19-13-34/-3
22,-10,45339.0,0.08114437758922577,1.4872101545333862,9569,0.55845,0.55375,0.5071,0.72205,0.6252,0.56965,1.6193,0.53976667,0.00080585567,1.9168999,0.6389666,0.0059485827,/home/ben/sci/potential-happiness/epsilon/outputs/2021-05-26/19-13-34/-10,/home/ben/sci/potential-happiness/epsilon/outputs/2021-05-26/19-13-34/-10
23,-9,52709.0,0.02996198646724224,1.4747685194015503,1458,0.54285,0.5347,0.5131,0.59315,0.5648,0.57245,1.59065,0.53021663,0.00023634046,1.7304001,0.57680005,0.0002151226,/home/ben/sci/potential-happiness/epsilon/outputs/2021-05-26/19-13-34/-9,/home/ben/sci/potential-happiness/epsilon/outputs/2021-05-26/19-13-34/-9
